Date,QATAR DOMESTIC SMALL CAP
2002-05,180.5126340237942
2002-06,184.45883473879013
2002-07,203.22830284084708
2002-08,213.2519487213915
2002-09,203.96348449888018
2002-10,200.23705681784654
2002-11,200.10672048711277
2002-12,210.50212646056798
2003-01,226.98732948934506
2003-02,205.1450980694433
2003-03,217.99533438391205
2003-04,234.3991755584237
2003-05,226.01162076874058
2003-06,258.9191390938856
2003-07,290.14805068577226
2003-08,306.95986370266894
2003-09,284.9752334552499
2003-10,293.46746391604523
2003-11,317.3247096221391
2003-12,312.1061465916827
2004-01,330.7294893983229
2004-02,398.5967017263458
2004-03,500.88894230585726
2004-04,513.3083795646812
2004-05,474.6246336203173
2004-06,433.68427322881865
2004-07,430.975073859759
2004-08,449.2430798627124
2004-09,423.6106578833915
2004-10,441.4293219424424
2004-11,465.5275763200443
2004-12,493.221594083119
2005-01,604.5593304088917
2005-02,809.2313853872179
2005-03,1333.028928107335
2005-04,847.522823171845
2005-05,784.1862576240794
2005-06,985.0948223938681
2005-07,966.3683819174312
2005-08,1210.6498406039752
2005-09,1277.9217754669953
2005-10,1346.7864817178584
2005-11,1102.7543509293903
2005-12,1129.1086409736592
2006-01,1020.9508661393161
2006-02,797.8237613638694
2006-03,865.2270514818399
2006-04,890.1515002228432
2006-05,772.6656890340981
2006-06,788.1993175703188
2006-07,813.5221602557428
2006-08,802.0403967349928
2006-09,786.1308558427918
2006-10,739.931432080477
2006-11,651.2082509037429
2006-12,766.2733521792225
2007-01,703.5338024510179
2007-02,675.3969265056224
2007-03,664.472128710805
2007-04,725.1608447142997
2007-05,775.4443484111341
2007-06,775.2255667842406
2007-07,809.1223026069422
2007-08,810.771895873041
2007-09,852.1366911126595
2007-10,973.3788405259601
2007-11,1000.0000000000007
2007-12,1060.7267990280088
2008-01,1043.027010309465
2008-02,1165.140898024397
2008-03,1088.1479449225926
2008-04,1257.1753494515924
2008-05,1334.445446387479
2008-06,1454.7661826205012
2008-07,1501.8594089637759
2008-08,1362.1388744790818
2008-09,1237.8355224266763
2008-10,854.1347711322272
2008-11,680.0871497586486
2008-12,732.3046254300186
2009-01,579.6066965745483
2009-02,585.42200547222
2009-03,616.5347422134561
2009-04,781.6485614421355
2009-05,838.8046816760765
2009-06,802.017020545319
2009-07,837.6109779715282
2009-08,860.5576296869324
2009-09,905.408353726359
2009-10,893.6077161279937
2009-11,879.7083824897035
2009-12,857.736818659282
2010-01,839.2150302932906
2010-02,849.953584489886
2010-03,972.2734012947205
2010-04,988.4233564893887
2010-05,918.9216861155633
2010-06,917.0834402944428
2010-07,928.0118533293772
2010-08,965.70713003411
2010-09,1013.8868328282847
2010-10,1001.6783676148254
2010-11,1033.5796804140934
2010-12,1109.4079383431135
2011-01,1079.5841857903215
2011-02,972.4186531186355
2011-03,1115.9915437146278
2011-04,1151.865018116378
2011-05,1136.0769231564345
2011-06,1122.3978284756258
2011-07,1111.2332515284386
2011-08,1073.653132954041
2011-09,1073.0382228189305
2011-10,1077.8007101769322
2011-11,1089.979326045048
2011-12,1122.2262035434674
2012-01,1135.5484578432802
2012-02,1176.2509289653829
2012-03,1280.441598945634
2012-04,1316.56153764328
2012-05,1346.9975180670997
2012-06,1312.5417930731671
2012-07,1341.930674872451
2012-08,1389.990054174972
2012-09,1363.9514900933611
2012-10,1372.9412992282726
2012-11,1325.9306316772522
2012-12,1336.079306519513
2013-01,1336.3416714151954
2013-02,1370.9073386500904
2013-03,1391.1301621493312
2013-04,1454.5946734100337
2013-05,1603.3463963660906
2013-06,1612.6412608518933
2013-07,1653.858814877086
2013-08,1615.2167085197939
2013-09,1645.9156072488927
2013-10,1724.1363996314408
2013-11,1836.1602972304975
2013-12,1873.7990295453424
2014-01,2051.5544910429653
2014-02,2081.2920956540192
2014-03,2370.4931102913265
2014-04,2842.5591985862275
2014-05,2906.9448125054323
2014-06,2428.252110018207
2014-07,2759.2965728088184
2014-08,3015.416564114272
2014-09,3007.8919500912234
2014-10,2799.2602954634485
2014-11,2789.6535464047797
2014-12,2602.650608905329
2015-01,2597.5413760142155
2015-02,2809.268689212785
2015-03,2620.9778903632064
2015-04,2972.125189484539
2015-05,3016.904811982249
2015-06,3184.760700956324
2015-07,3183.562881374544
2015-08,2921.0490163008944
2015-09,2917.4444792345025
2015-10,2927.2514793378514
2015-11,2491.61514935428
2015-12,2523.3705805185914
2016-01,2127.852363237174
2016-02,2461.099557374008
2016-03,2700.5538705089452
2016-04,2653.744204315942
2016-05,2497.8641532264496
2016-06,2535.740923655733
2016-07,2636.630678599408
2016-08,2663.367396437939
2016-09,2565.078873432108
2016-10,2480.2991713630863
2016-11,2285.0660045606105
2016-12,2508.3645999170967
2017-01,2531.6957367890773
2017-02,2565.330182676545
2017-03,2514.637166140451
2017-04,2376.776259
2017-05,2300.569591
2017-06,2057.670751
2017-07,2128.259907
2017-08,1926.393387
2017-09,1855.049286
2017-10,1666.367153
2017-11,1563.857087
2017-12,1734.944423
2018-01,1880.222452
2018-02,1814.453135
2018-03,1813.435763
2018-04,1810.8595640620022
2018-05,1713.3973544983248
2018-06,1746.1076598125385
2018-07,1813.6958929669229
2018-08,1811.9416660541126
2018-09,1808.8880400718365
2018-10,1781.8579908642048
2018-11,1805.6776018798562
2018-12,1786.1683327051387
2019-01,1899.8292040403326
2019-02,1827.4393848101327
2019-03,1902.7431121899817
2019-04,1899.5291290132523
2019-05,1878.846899799959
2019-06,2007.9696918238205
2019-07,1963.5843412218985
2019-08,1880.9153895978593
2019-09,1943.9754819459604
2019-10,1929.9466111158408
2019-11,1934.2736097375603
2019-12,1954.3295258103522
2020-01,1947.0444475080305
2020-02,1661.8061865241511
2020-03,1448.512134285903
2020-04,1711.8962509432326
2020-05,1767.3156225624896
2020-06,1905.9537449437917
2020-07,2087.9528713667623
2020-08,2222.017739951198
2020-09,2387.2035126211695
2020-10,2197.1088211103947
2020-11,2268.3307399464643
2020-12,2313.803126992785
2021-01,2302.796450332769
2021-02,2293.0106883019134
2021-03,2460.6082581894257
2021-04,2600.6317826913037
2021-05,2651.892496987469
2021-06,2561.2119544199727
2021-07,2552.464984761773
2021-08,2611.0053727372406
2021-09,2650.3079701153983
2021-10,2708.138326407295
2021-11,2690.440261760595
2021-12,2759.027759720613
2022-01,2789.3966265566733
2022-02,2826.750862137914
2022-03,2848.2031598508024
2022-04,2822.1230502017065
2022-05,2757.9818131720785
2022-06,2633.7658644779517
2022-07,2641.7852088550803
2022-08,2717.93186976316
2022-09,2515.073516934723
2022-10,2487.2483742292593
2022-11,2383.6882295728856
2022-12,2292.4202545570065
2023-01,2315.2311470780023
2023-02,2207.220032373647
2023-03,2180.1847124555024
2023-04,2241.271418458351
2023-05,2356.3401909185263
2023-06,2259.5561628435694
2023-07,2375.977546406557
